127.0.0.1 - - [04/May/2022:14:40:29 +0200] "POST /wp-cron.php?doing_wp_cron=1651668029.9412200450897216796875 HTTP/1.0" 200 -
127.0.0.1 - - [04/May/2022:14:40:30 +0200] "GET / HTTP/1.0" 200 53922
127.0.0.1 - - [04/May/2022:15:10:32 +0200] "GET /wp-admin/ HTTP/1.0" 302 -
127.0.0.1 - - [04/May/2022:15:10:32 +0200] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftestalternantdev.novembre%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 5969
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/css/dashicons.min.css?ver=5.9.3 HTTP/1.0" 200 59016
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2 HTTP/1.0" 200 11224
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/css/l10n.min.css?ver=5.9.3 HTTP/1.0" 200 2477
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/css/buttons.min.css?ver=5.9.3 HTTP/1.0" 200 5854
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.6.0 HTTP/1.0" 200 89521
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/css/forms.min.css?ver=5.9.3 HTTP/1.0" 200 25369
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/css/login.min.css?ver=5.9.3 HTTP/1.0" 200 6315
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.0" 200 351
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0 HTTP/1.0" 200 19261
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9 HTTP/1.0" 200 6494
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/dist/hooks.min.js?ver=1e58c8c5a32b2e97491080c5b10dc71c HTTP/1.0" 200 5690
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/dist/i18n.min.js?ver=30fcecb428a0e8383d3776bcdd3a7834 HTTP/1.0" 200 10407
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/js/password-strength-meter.min.js?ver=5.9.3 HTTP/1.0" 200 1123
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/wp-util.min.js?ver=5.9.3 HTTP/1.0" 200 1340
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/underscore.min.js?ver=1.13.1 HTTP/1.0" 200 19069
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/js/user-profile.min.js?ver=5.9.3 HTTP/1.0" 200 6102
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.0" 200 1521
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.0" 200 822237
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [04/May/2022:15:10:33 +0200] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [04/May/2022:15:10:38 +0200] "POST /wp-login.php HTTP/1.0" 302 -
127.0.0.1 - - [04/May/2022:15:10:39 +0200] "GET /wp-admin/ HTTP/1.0" 200 67934
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/thickbox/thickbox.css?ver=5.9.3 HTTP/1.0" 200 2659
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-admin/js/common.min.js?ver=5.9.3 HTTP/1.0" 200 20038
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/css/editor.min.css?ver=5.9.3 HTTP/1.0" 200 27188
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.0" 200 1718
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/admin-bar.min.js?ver=5.9.3 HTTP/1.0" 200 3556
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/clipboard.min.js?ver=5.9.3 HTTP/1.0" 200 10607
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/dist/dom-ready.min.js?ver=ecda74de0221e1c2ce5c57cbb5af09d5 HTTP/1.0" 200 1257
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/dist/a11y.min.js?ver=68e470cf840f69530e9db3be229ad4b6 HTTP/1.0" 200 3069
127.0.0.1 - - [04/May/2022:15:10:40 +0200] "GET /wp-includes/js/api-request.min.js?ver=5.9.3 HTTP/1.0" 200 1025
